dataset,conversation_id,video_id,file_number,level,level_label,n_utterances,expert_n_utterances,partner_n_utterances,speaker_centroid_cosine_distance,radial_distance_median,radial_distance_q90,participation_ratio
wired,wired_Talia_12,talia,12,0,child,27,19,1,0.46671104431152344,0.5584413724005212,0.6628235219307836,16.18181159107105
wired,wired_astro_12,astro,12,0,child,56,35,11,0.1709519624710083,0.5362634345522486,0.742166503168918,22.543432987013166
wired,wired_blockchain_12,blockchain,12,0,child,20,11,4,0.36899280548095703,0.5468263902926352,0.6532852831946598,12.488393536893373
wired,wired_crispr_12,crispr,12,0,child,21,12,1,0.798182487487793,0.5534333240413047,0.6399126719877645,11.503853252475356
wired,wired_dimension_12,dimension,12,0,child,89,46,15,0.2411547303199768,0.5425207187033281,0.693300575943245,22.84672153508895
wired,wired_fractal_12,fractal,12,0,child,46,25,5,0.3141072988510132,0.5187308516510849,0.6794170338599493,12.551314878349293
wired,wired_gravity_12,gravity,12,0,child,71,38,7,0.1610233187675476,0.5674601140953476,0.7191246903644639,24.451591337068006
wired,wired_hacking_12,hacking,12,0,child,40,25,9,0.2658805251121521,0.4934790333664023,0.7187365441287021,18.38271535213288
wired,wired_infinity_12,infinity,12,0,child,43,26,10,0.14113450050354004,0.5454357130943532,0.6835316768049283,17.99499397245203
wired,wired_internet_12,internet,12,0,child,61,38,6,0.35103511810302734,0.5706074639571085,0.7407704639553873,23.153895237172314
wired,wired_laser_12,laser,12,0,child,73,41,5,0.25813621282577515,0.530303278903345,0.714270436509998,19.01224293952008
wired,wired_machine_12,machine,12,0,child,69,34,8,0.3481629490852356,0.5632543212676038,0.7063289244657845,21.354122300876337
wired,wired_memory_12,memory,12,0,child,41,23,14,0.211556077003479,0.4855436546135592,0.6950241751674631,18.8513679325051
wired,wired_moravec_12,moravec,12,0,child,50,31,5,0.3603176474571228,0.5178453787364709,0.701594404436879,17.27482280133276
wired,wired_nano_12,nano,12,0,child,58,39,5,0.2966853976249695,0.5355852846274598,0.709439599107068,23.65521152351384
wired,wired_neuro_12,neuro,12,0,child,12,8,3,0.5125312805175781,0.40426391911243403,0.6943640069368793,8.541463262109867
wired,wired_nuclear_12,nuclear,12,0,child,73,42,12,0.2516593337059021,0.5480409541459821,0.7039572545285769,25.73950333218144
wired,wired_sensing_12,sensing,12,0,child,52,27,8,0.21297049522399902,0.5459451518900709,0.6864672015687038,20.072139128475634
wired,wired_sleep_12,sleep,12,0,child,93,47,9,0.2720443606376648,0.5890909892293221,0.7011088283057522,29.22493482123666
wired,wired_time_12,time,12,0,child,80,47,5,0.250438928604126,0.5573424386785546,0.6878868898372986,30.794845085891055
wired,wired_zero_12,zero,12,0,child,57,34,7,0.35843825340270996,0.5682880402928787,0.6891538023835478,20.239561344519203
wired,wired_Talia_13,talia,13,1,teenager,60,37,8,0.46397215127944946,0.5597553736965923,0.7317564552677424,23.029034241960282
wired,wired_astro_13,astro,13,1,teenager,53,44,6,0.29849517345428467,0.5291874494383095,0.7426724946684543,18.396213282242215
wired,wired_blockchain_13,blockchain,13,1,teenager,32,17,7,0.3298254609107971,0.5342706078931461,0.6287724745469462,17.12844717875149
wired,wired_crispr_13,crispr,13,1,teenager,24,15,4,0.43112003803253174,0.5015362393557165,0.6981283616572341,13.231193794131055
wired,wired_dimension_13,dimension,13,1,teenager,95,44,8,0.20290839672088623,0.560665385527421,0.6673498399359883,19.673749949685973
wired,wired_fractal_13,fractal,13,1,teenager,40,29,6,0.256989061832428,0.4761924605263408,0.6441074235281291,16.218751241847333
wired,wired_gravity_13,gravity,13,1,teenager,116,85,13,0.2589760422706604,0.5608682180486311,0.708411361603041,37.506889307550985
wired,wired_hacking_13,hacking,13,1,teenager,37,21,9,0.23696744441986084,0.43461060046365385,0.6676468075911203,18.03354013525706
wired,wired_infinity_13,infinity,13,1,teenager,53,35,9,0.23171037435531616,0.4773618260397664,0.698219432372966,16.359265315426114
wired,wired_internet_13,internet,13,1,teenager,53,42,6,0.3171444535255432,0.5544899350936154,0.7382413418982174,25.47431923924219
wired,wired_laser_13,laser,13,1,teenager,76,49,16,0.19100946187973022,0.5181648069822316,0.7303459522832266,26.17825486653354
wired,wired_machine_13,machine,13,1,teenager,65,27,21,0.2355724573135376,0.6115860198765362,0.7042408204856159,26.35625462030174
wired,wired_memory_13,memory,13,1,teenager,34,26,7,0.45480865240097046,0.5485194402154883,0.6694245080149759,18.36963484194947
wired,wired_moravec_13,moravec,13,1,teenager,58,37,6,0.20663577318191528,0.5343728223101198,0.7408564633912217,20.52410707535745
wired,wired_nano_13,nano,13,1,teenager,61,39,7,0.36804378032684326,0.5784657601797579,0.745864455501717,24.6564300700328
wired,wired_neuro_13,neuro,13,1,teenager,13,6,3,0.6654608249664307,0.4118834550570356,0.6847663361997408,9.625181558822755
wired,wired_nuclear_13,nuclear,13,1,teenager,58,45,4,0.3262956142425537,0.5692059420757356,0.7283335762813635,22.88158241268456
wired,wired_sensing_13,sensing,13,1,teenager,90,45,15,0.15273171663284302,0.5819668426838509,0.7344349885366446,15.49571914684089
wired,wired_sleep_13,sleep,13,1,teenager,80,40,12,0.16020441055297852,0.5324565479238492,0.7342307444480274,22.009822937145657
wired,wired_time_13,time,13,1,teenager,71,58,6,0.37165164947509766,0.5839787043519975,0.7014203354272844,24.865412342052274
wired,wired_zero_13,zero,13,1,teenager,53,27,7,0.2679784893989563,0.5230815997952566,0.6641710870620078,19.74608369702661
wired,wired_Talia_14,talia,14,2,undergraduate,44,29,9,0.2397228479385376,0.5037093877745622,0.7970037844940572,18.618396080264947
wired,wired_astro_14,astro,14,2,undergraduate,52,34,15,0.11033260822296143,0.41899513305330344,0.739280481539588,21.65586085663915
wired,wired_blockchain_14,blockchain,14,2,undergraduate,23,20,3,0.3428347706794739,0.4620440807956766,0.6740176791456866,13.782367431469453
wired,wired_crispr_14,crispr,14,2,undergraduate,29,11,11,0.2857814431190491,0.5372247106256349,0.6456247217921283,13.569119991923843
wired,wired_dimension_14,dimension,14,2,undergraduate,99,54,12,0.2110263705253601,0.5434438350998734,0.6942708143634165,24.79622304802113
wired,wired_fractal_14,fractal,14,2,undergraduate,47,35,10,0.3280720114707947,0.553604341243175,0.7259863454180521,23.437166802117922
wired,wired_gravity_14,gravity,14,2,undergraduate,102,71,10,0.231886625289917,0.5666825654723335,0.6989937532571895,30.320830205629182
wired,wired_hacking_14,hacking,14,2,undergraduate,56,41,14,0.20194226503372192,0.542442567445824,0.6582015517006741,23.987191478054534
wired,wired_infinity_14,infinity,14,2,undergraduate,92,63,14,0.16238808631896973,0.5515361597312942,0.7230016635346725,26.73607031910942
wired,wired_internet_14,internet,14,2,undergraduate,63,43,16,0.18928653001785278,0.6091495248805117,0.7327274134224616,30.30336404703498
wired,wired_laser_14,laser,14,2,undergraduate,64,46,10,0.3609764575958252,0.5674369445937426,0.7398535846909486,24.920168799283363
wired,wired_machine_14,machine,14,2,undergraduate,57,30,21,0.13705289363861084,0.514849563057095,0.752085493825031,28.520630184589354
wired,wired_memory_14,memory,14,2,undergraduate,49,37,11,0.13634908199310303,0.39017046107181763,0.743309268167526,23.12543843745804
wired,wired_moravec_14,moravec,14,2,undergraduate,49,29,14,0.14327079057693481,0.47599792563635956,0.704705992700951,20.469821000149945
wired,wired_nano_14,nano,14,2,undergraduate,86,45,25,0.12981122732162476,0.5562358963723945,0.7723857588818028,29.744735168180213
wired,wired_neuro_14,neuro,14,2,undergraduate,20,10,5,0.2812545895576477,0.44531116943638094,0.6775231777167282,11.24837705089077
wired,wired_nuclear_14,nuclear,14,2,undergraduate,117,64,13,0.2646217346191406,0.5563773966094567,0.702094074043804,31.426400059196954
wired,wired_sensing_14,sensing,14,2,undergraduate,63,35,15,0.1619809865951538,0.5429647286310884,0.7188421594957772,19.525670507744902
wired,wired_sleep_14,sleep,14,2,undergraduate,49,29,9,0.2689616084098816,0.5382164496526315,0.7140044493458324,19.950029178647007
wired,wired_time_14,time,14,2,undergraduate,61,47,11,0.21272540092468262,0.5653451698777133,0.7046926086629416,28.907911015494644
wired,wired_zero_14,zero,14,2,undergraduate,115,65,12,0.3503763675689697,0.5951738474728064,0.7157047493375654,26.364727130742512
wired,wired_Talia_15,talia,15,3,graduate,43,27,8,0.2335362434387207,0.543845941803974,0.7579226579125431,17.342065674378937
wired,wired_astro_15,astro,15,3,graduate,67,34,22,0.10789114236831665,0.5216588461315442,0.7626877917927166,27.287449957596916
wired,wired_blockchain_15,blockchain,15,3,graduate,36,16,14,0.23368096351623535,0.5131953281792033,0.6741328235066797,19.518008833205595
wired,wired_crispr_15,crispr,15,3,graduate,41,16,22,0.15985536575317383,0.5811623457628015,0.664361510550908,20.89128822502323
wired,wired_dimension_15,dimension,15,3,graduate,92,53,15,0.1305670142173767,0.55384929507609,0.7057566356303553,24.549620608989812
wired,wired_fractal_15,fractal,15,3,graduate,54,34,15,0.20502835512161255,0.5695088807442119,0.7466752737978627,20.38013585897696
wired,wired_gravity_15,gravity,15,3,graduate,86,44,26,0.11306077241897583,0.48588682456381904,0.7363871335578536,28.518795928531052
wired,wired_hacking_15,hacking,15,3,graduate,66,32,30,0.24807780981063843,0.6110005595169041,0.7651596214047998,32.6280698996078
wired,wired_infinity_15,infinity,15,3,graduate,68,43,18,0.2204226851463318,0.5278014382295002,0.7142383706188286,26.434129515259745
wired,wired_internet_15,internet,15,3,graduate,37,14,18,0.23037993907928467,0.574149035672515,0.7844521590526583,21.119109254553617
wired,wired_laser_15,laser,15,3,graduate,53,28,14,0.21224826574325562,0.6021532835648693,0.764847071358088,23.7728345065287
wired,wired_machine_15,machine,15,3,graduate,28,10,17,0.23582065105438232,0.5128135630233834,0.6225487410352925,18.653326979973087
wired,wired_memory_15,memory,15,3,graduate,43,25,14,0.24085241556167603,0.4933103193591446,0.6794810799706132,23.88864805969101
wired,wired_moravec_15,moravec,15,3,graduate,37,15,17,0.20433396100997925,0.4662942592413962,0.7309916675923877,19.17860193612661
wired,wired_nano_15,nano,15,3,graduate,34,18,16,0.18288803100585938,0.3942783940677998,0.723863733737359,16.581338168115902
wired,wired_neuro_15,neuro,15,3,graduate,16,6,9,0.3591267466545105,0.453641282320364,0.6475957786806039,10.295340931215774
wired,wired_nuclear_15,nuclear,15,3,graduate,97,56,16,0.2531864047050476,0.5759355788475364,0.7259843029742384,33.598355146989086
wired,wired_sensing_15,sensing,15,3,graduate,61,35,15,0.17254704236984253,0.5334507720760935,0.6812660237166743,23.80612089834344
wired,wired_sleep_15,sleep,15,3,graduate,45,28,10,0.1613253355026245,0.5148558624121516,0.7445374497949232,19.22060989601867
wired,wired_time_15,time,15,3,graduate,103,53,24,0.12189841270446777,0.546666732030854,0.7104722012397297,31.792827909948848
wired,wired_zero_15,zero,15,3,graduate,70,24,26,0.12049108743667603,0.5633710299265002,0.6967367961214278,19.819855307678612
wired,wired_Talia_16,talia,16,4,expert,44,16,27,0.10130798816680908,0.4702720191672342,0.6817283307286899,21.715176363018504
wired,wired_astro_16,astro,16,4,expert,42,21,18,0.10243374109268188,0.41643928402680674,0.723482540461599,19.776657828327018
wired,wired_blockchain_16,blockchain,16,4,expert,68,21,43,0.1919437050819397,0.5599596458390982,0.6770470685894157,32.257592904676294
wired,wired_crispr_16,crispr,16,4,expert,102,43,53,0.12374341487884521,0.5344396008886986,0.7001604071613412,30.27660129228592
wired,wired_dimension_16,dimension,16,4,expert,95,42,27,0.11590486764907837,0.5817018818955925,0.7249140861823176,28.50736494443963
wired,wired_fractal_16,fractal,16,4,expert,85,29,38,0.1841711401939392,0.5810063548216365,0.7036546319120974,30.71877656597956
wired,wired_gravity_16,gravity,16,4,expert,151,53,80,0.07556301355361938,0.5260863587716487,0.743362870023152,41.72397873024885
wired,wired_hacking_16,hacking,16,4,expert,94,36,51,0.15997600555419922,0.601672297583627,0.7256038229086221,40.8439399000252
wired,wired_infinity_16,infinity,16,4,expert,46,21,22,0.15121471881866455,0.43808375916760717,0.6808119546956546,21.949085623716766
wired,wired_internet_16,internet,16,4,expert,72,26,39,0.12678629159927368,0.5250309907016935,0.7809063499353407,30.583417513039166
wired,wired_laser_16,laser,16,4,expert,111,33,58,0.2123095989227295,0.5938318344935951,0.7664095254673979,34.18713799427861
wired,wired_machine_16,machine,16,4,expert,62,25,32,0.15504932403564453,0.5788918786591991,0.728906133477836,31.484455673930132
wired,wired_memory_16,memory,16,4,expert,81,34,40,0.14814132452011108,0.5116633585371708,0.6970274571962299,32.888449347717014
wired,wired_moravec_16,moravec,16,4,expert,53,17,30,0.19838738441467285,0.5434737832244119,0.7404986418359593,29.48675129923269
wired,wired_nano_16,nano,16,4,expert,83,20,57,0.23547935485839844,0.5374284588107352,0.6795335979615355,31.813986506934306
wired,wired_neuro_16,neuro,16,4,expert,23,14,9,0.2611846327781677,0.48883376945935186,0.6538956682887093,15.861522491214147
wired,wired_nuclear_16,nuclear,16,4,expert,44,16,26,0.1485964059829712,0.5166547574643303,0.7082884541840025,21.622794544097832
wired,wired_sensing_16,sensing,16,4,expert,56,12,33,0.2325417399406433,0.5697727354012645,0.6773707746004474,21.181875033289263
wired,wired_sleep_16,sleep,16,4,expert,31,21,10,0.15157288312911987,0.30763120230028296,0.7880194384710787,13.797188034303375
