dataset,video_id,conversation_id,file_number,level,level_label,utterance_id,utterance_number,turn_id,utterance_in_turn,sequence,speaker,speaker_raw,speaker_role,text,n_words,include_geometry_primary,embedding_idx,notes,source_file,_original_dataframe_row,n_model_tokens,exceeds_model_limit
wired,talia,wired_Talia_12,12,0,child,wired::wired_Talia_12::utterance_001,1,1,1,1,B,Speaker 2 (Genesis - child),partner,what's this,2,False,0,,data/wired/wired_talia/wired_Talia_12.csv,5383,6,False
wired,talia,wired_Talia_12,12,0,child,wired::wired_Talia_12::utterance_002,2,2,1,2,A,Speaker 1 (Talia Gershon),expert,yeah what do you think that is,7,True,1,,data/wired/wired_talia/wired_Talia_12.csv,5384,9,False
wired,talia,wired_Talia_12,12,0,child,wired::wired_Talia_12::utterance_003,3,3,1,3,B,Speaker 2 (Genesis - child),partner,fancy chandelier,2,False,2,,data/wired/wired_talia/wired_Talia_12.csv,5385,6,False
wired,talia,wired_Talia_12,12,0,child,wired::wired_Talia_12::utterance_004,4,4,1,4,A,Speaker 1 (Talia Gershon),expert,i think so too we jokingly call it the chandelier,10,True,3,,data/wired/wired_talia/wired_Talia_12.csv,5386,15,False
wired,talia,wired_Talia_12,12,0,child,wired::wired_Talia_12::utterance_005,5,4,2,5,A,Speaker 1 (Talia Gershon),expert,that's real gold you know,5,True,4,,data/wired/wired_talia/wired_Talia_12.csv,5387,9,False
wired,talia,wired_Talia_12,12,0,child,wired::wired_Talia_12::utterance_006,6,4,3,6,A,Speaker 1 (Talia Gershon),expert,this is a quantum computer,5,True,5,,data/wired/wired_talia/wired_Talia_12.csv,5388,7,False
wired,talia,wired_Talia_12,12,0,child,wired::wired_Talia_12::utterance_007,7,5,1,7,B,Speaker 2 (Genesis - child),partner,it's a clunt,3,False,6,,data/wired/wired_talia/wired_Talia_12.csv,5389,8,False
wired,talia,wired_Talia_12,12,0,child,wired::wired_Talia_12::utterance_008,8,6,1,8,A,Speaker 1 (Talia Gershon),expert,it's a really special kind of computer,7,True,7,,data/wired/wired_talia/wired_Talia_12.csv,5390,11,False
wired,talia,wired_Talia_12,12,0,child,wired::wired_Talia_12::utterance_009,9,7,1,9,B,Speaker 2 (Genesis - child),partner,what does it do,4,False,8,,data/wired/wired_talia/wired_Talia_12.csv,5391,6,False
wired,talia,wired_Talia_12,12,0,child,wired::wired_Talia_12::utterance_010,10,8,1,10,A,Speaker 1 (Talia Gershon),expert,it calculates things but in a totally different way to how your computer calculates things,15,True,9,,data/wired/wired_talia/wired_Talia_12.csv,5392,19,False
wired,talia,wired_Talia_12,12,0,child,wired::wired_Talia_12::utterance_011,11,8,2,11,A,Speaker 1 (Talia Gershon),expert,what do you think this is,6,True,10,,data/wired/wired_talia/wired_Talia_12.csv,5393,8,False
wired,talia,wired_Talia_12,12,0,child,wired::wired_Talia_12::utterance_012,12,9,1,12,B,Speaker 2 (Genesis - child),partner,an A,2,False,11,,data/wired/wired_talia/wired_Talia_12.csv,5394,4,False
