Sequence,Speaker,Utterance,Notes
1,Speaker 3 (teen),"Hello.",
2,Speaker 1 (Hilary Mason),"Hi.",
3,Speaker 1 (Hilary Mason),"Are you a student, Lucy?",
4,Speaker 3 (teen),"Yes, I just finished ninth grade.",
5,Speaker 1 (Hilary Mason),"Congratulations.",
6,Speaker 3 (teen),"Thank you.",
7,Speaker 3 (teen),"It's very exciting.",
8,Speaker 1 (Hilary Mason),"Have you ever heard of machine learning before?",
9,Speaker 3 (teen),"I'm going to assume that it means humans being able to teach machines or robots how to learn themselves?",
10,Speaker 1 (Hilary Mason),"That's right.",
11,Speaker 1 (Hilary Mason),"When we teach machines to learn from data, to build a model from that data or a representation of that, and then to make a prediction.",
12,Speaker 1 (Hilary Mason),"One of the places we often find machine learning in the real world is in things like recommendation systems.",
13,Speaker 1 (Hilary Mason),"So do you have an artist that you really like?",
14,Speaker 3 (teen),"Yeah, Melanie Martinez.",
15,Speaker 1 (Hilary Mason),"So I'm gonna look up Melanie Martinez.",
16,Speaker 1 (Hilary Mason),"And it says here, If you like Melanie Martinez, one of the other songs you might like is by AuRa.",
17,Speaker 1 (Hilary Mason),"Do you know who that is?",
18,Speaker 3 (teen),"I do not.",
19,Speaker 1 (Hilary Mason),"So let's listen to a hint of this song.",
20,Speaker 1 (Hilary Mason),"Okay.",
21,Speaker 1 (Hilary Mason),"All right.",
22,Speaker 1 (Hilary Mason),"So why do you think Spotify might've recommended that song?",
23,Speaker 3 (teen),"Well, I know that in Melanie Martinez's music, she used a lot of the filtered voice to make it sound very deep and low and that song had that.",
24,Speaker 1 (Hilary Mason),"And that's actually a really interesting thing to think about because that creepy vibe is something that you can perceive and I can perceive, but it's actually really hard to describe to a machine.",
25,Speaker 1 (Hilary Mason),"What do you think might go into that?",
26,Speaker 3 (teen),"Pitch of the music.",
27,Speaker 3 (teen),"If it's really low or if it's super high, it could know that.",
28,Speaker 3 (teen),"What can the machine understand?",
29,Speaker 1 (Hilary Mason),"It's a great question.",
30,Speaker 1 (Hilary Mason),"The machine can understand whatever we tell it to understand.",
31,Speaker 1 (Hilary Mason),"So there might be a person thinking about things, like the pitch or the pacing or the tone, or sometimes machines can figure out things about music or images or videos that we don't tell it to discover, but that it can learn from looking at a lot of different examples.",
32,Speaker 1 (Hilary Mason),"Why do you think companies might use machine learning?",
33,Speaker 3 (teen),"Well, I think things like Facebook or Instagram, they probably use it to target ads.",
34,Speaker 3 (teen),"Sometimes, the ads you see are really uncanny.",
35,Speaker 3 (teen),"And I think that's because they're based on so much data.",
36,Speaker 3 (teen),"They know where you live.",
37,Speaker 3 (teen),"They know where your device is.",
38,Speaker 3 (teen),"It's also important to realize that people in aggregate are actually pretty predictable.",
39,Speaker 3 (teen),"Like when we talk to each other, we like to talk about the novel things, like here, we're having this conversation.",
40,Speaker 3 (teen),"We don't do this every day.",
41,Speaker 3 (teen),"But we probably still eat breakfast.",
42,Speaker 3 (teen),"We're gonna eat lunch.",
43,Speaker 3 (teen),"We're gonna eat dinner.",
44,Speaker 3 (teen),"You probably are going to the same home you go to most of the time.",
45,Speaker 3 (teen),"And so, they're able to take that data that we already give them and make predictions based on that as to what ads they should show us.",
46,Speaker 3 (teen),"So, you're saying I give them enough data as it is about what I might be talking about or thinking about that they can read my mind, but just use the data that I've already given them.",
47,Speaker 3 (teen),"And it almost seems like they're watching us.",
48,Speaker 1 (Hilary Mason),"That's right.",
49,Speaker 1 (Hilary Mason),"To do machine learning, we use something called algorithms.",
50,Speaker 1 (Hilary Mason),"Have you heard of algorithms before?",
51,Speaker 3 (teen),"A set of steps or a process carried out to complete something?",
52,Speaker 1 (Hilary Mason),"That's right.",
53,Speaker 3 (teen),"So do you think that we've been able to teach machines enough so that they can do things that even we can't do?",
54,Speaker 3 (teen),"And on the opposite side of that, do you think there are things that we can do that a machine might never be able to do?",
55,Speaker 1 (Hilary Mason),"So there are things that machines are really great at that humans are actually not great at.",
56,Speaker 1 (Hilary Mason),"And imagine watching every video posted to TikTok every day.",
57,Speaker 1 (Hilary Mason),"So we just don't have enough time to do that at the rate at which we can actually watch those videos.",
58,Speaker 1 (Hilary Mason),"But a machine can analyze all of them and then make recommendations to us.",
59,Speaker 1 (Hilary Mason),"And then thinking about things that machines are bad at and people are good at, people are really great with only one or two examples of learning something new and incorporating that into our model of the world to make good decisions.",
60,Speaker 1 (Hilary Mason),"Whereas machines often need tens of thousands of examples, and that's not even getting into things like good judgment because we care about people, because we can imagine a future that we want to live in that doesn't exist today.",
61,Speaker 1 (Hilary Mason),"And that's something that is still uniquely human.",
62,Speaker 1 (Hilary Mason),"Machines are great at predicting based on what they've seen in the past, but they're not creative.",
63,Speaker 1 (Hilary Mason),"They're not going to invent.",
64,Speaker 1 (Hilary Mason),"They're not gonna, you know, really change where we're gonna go.",
65,Speaker 1 (Hilary Mason),"That's up to us."
