dataset,conversation_id,turn_id,video_id,level,level_label,speaker_role,turn_text,n_utterances_in_turn,turn_order,turn_embedding_idx,episode_id
wired,wired_Talia_12,1,talia,0,child,partner,what's this,1,0,0,0
wired,wired_Talia_12,2,talia,0,child,expert,yeah what do you think that is,1,1,1,0
wired,wired_Talia_12,3,talia,0,child,partner,fancy chandelier,1,2,2,0
wired,wired_Talia_12,4,talia,0,child,expert,i think so too we jokingly call it the chandelier that's real gold you know this is a quantum computer,3,3,3,0
wired,wired_Talia_12,5,talia,0,child,partner,it's a clunt,1,4,4,0
wired,wired_Talia_12,6,talia,0,child,expert,it's a really special kind of computer,1,5,5,0
wired,wired_Talia_12,7,talia,0,child,partner,what does it do,1,6,6,0
wired,wired_Talia_12,8,talia,0,child,expert,it calculates things but in a totally different way to how your computer calculates things what do you think this is,2,7,7,0
wired,wired_Talia_12,9,talia,0,child,partner,an A,1,8,8,0
wired,wired_Talia_12,10,talia,0,child,expert,yeah do you know what your computer thinks that is,1,9,9,0
wired,wired_Talia_12,11,talia,0,child,partner,zero one,1,10,10,0
wired,wired_Talia_12,12,talia,0,child,expert,this really specific combination of zeros and ones everything that your computer does showing you pink panther videos on youtube calculating things searching the internet it does all of that with a really specific combination of zeros and ones which is crazy right that would be like saying your computer only understands these quarters for each quarter you need to tell it that you're going to use heads tails and you assign it heads or tails so i can switch between heads and tails and i can switch the zeros and ones in my computer so that it represents what i wanted to represent like an a and with quantum computers we have new rules we get to use too we can actually spin one of our quarters so it doesn't have to choose just one or the other,7,11,11,0
wired,wired_Talia_12,13,talia,0,child,partner,can computers help you with um your homework your really hard homework,1,12,12,0
wired,wired_Talia_12,14,talia,0,child,expert,yeah they can especially if doing your homework involves calculating something or finding information but what if your homework was to discover something totally new a lot of those discovery questions are much harder to solve using the computers we have today so the reason we're building these kinds of computers is because we think that maybe one day they're going to do a lot of really important things like help us understand nature better maybe help us create new medicines to help people.,5,13,13,0
wired,wired_Talia_13,1,talia,1,teenager,expert,what's your favorite kind of computer smartphone tablet regular laptop pc,1,0,14,0
wired,wired_Talia_13,2,talia,1,teenager,partner,i've got to go with my iphone,1,1,15,0
wired,wired_Talia_13,3,talia,1,teenager,expert,so what do you do with your iphone,1,2,16,0
wired,wired_Talia_13,4,talia,1,teenager,partner,social media um use it for your studying,1,3,17,0
wired,wired_Talia_13,5,talia,1,teenager,expert,have you ever run out of space on your iphone,1,4,18,0
wired,wired_Talia_13,6,talia,1,teenager,partner,all the time,1,5,19,0
