segment_id,dataset,video_id,conversation_id,file_number,level,level_label,turn_id,segment_in_turn,n_segments_in_turn,normalized_time,speaker,speaker_raw,speaker_role,text,n_words,turn_n_words,is_split_turn,raw_row_start,raw_row_end,source_file,_turn_order,embedding_idx,n_model_tokens,would_truncate
wired::wired_astro_12::turn_0::segment_01,wired,astro,wired_astro_12,12,0,child,0,1,1,0.0,B,Speaker 2 (child),partner,Hi.,1,1,False,0,0,data/wired/wired_astro/wired_astro_12.csv,0,0,4,False
wired::wired_astro_12::turn_1::segment_01,wired,astro,wired_astro_12,12,0,child,1,1,1,0.045454545454545456,A,Speaker 1 (Janna Levin),expert,"Hi, welcome. Tell me your name.",6,6,False,1,2,data/wired/wired_astro/wired_astro_12.csv,1,1,11,False
wired::wired_astro_12::turn_2::segment_01,wired,astro,wired_astro_12,12,0,child,2,1,1,0.09090909090909091,B,Speaker 2 (child),partner,Jude.,1,1,False,3,3,data/wired/wired_astro/wired_astro_12.csv,2,2,4,False
wired::wired_astro_12::turn_3::segment_01,wired,astro,wired_astro_12,12,0,child,3,1,1,0.13636363636363635,A,Speaker 1 (Janna Levin),expert,I wanted to ask you if you have ever heard of a black hole?,14,14,False,4,4,data/wired/wired_astro/wired_astro_12.csv,3,3,17,False
wired::wired_astro_12::turn_4::segment_01,wired,astro,wired_astro_12,12,0,child,4,1,1,0.18181818181818182,B,Speaker 2 (child),partner,"Yeah, I think that they're scary and cool. 'Cause you can get sucked in and get lost forever and get plopped out in a random place. It's like a big, giant, black thingy.",33,33,False,5,7,data/wired/wired_astro/wired_astro_12.csv,4,4,48,False
wired::wired_astro_12::turn_5::segment_01,wired,astro,wired_astro_12,12,0,child,5,1,1,0.22727272727272727,A,Speaker 1 (Janna Levin),expert,"So black holes, you describe them as huge. The interesting thing about black holes is they're hugely heavy, but they're actually physically really small. What really matters is the density. Do you know what density is?",36,36,False,8,11,data/wired/wired_astro/wired_astro_12.csv,5,5,48,False
wired::wired_astro_12::turn_6::segment_01,wired,astro,wired_astro_12,12,0,child,6,1,1,0.2727272727272727,B,Speaker 2 (child),partner,"It's not weight, but it's how much of it is in it.",12,12,False,12,12,data/wired/wired_astro/wired_astro_12.csv,6,6,20,False
wired::wired_astro_12::turn_7::segment_01,wired,astro,wired_astro_12,12,0,child,7,1,1,0.3181818181818182,A,Speaker 1 (Janna Levin),expert,"Here, let me show you something. I can ask how heavy it is. Yeah. I can also ask how big it is, which is a question about its volume. If I make it smaller, then what's happening is it's becoming more dense. So imagine I crushed this really, really small. It would weigh the same, it would have the same mass, but it would be much more dense.",68,68,False,13,19,data/wired/wired_astro/wired_astro_12.csv,7,7,87,False
wired::wired_astro_12::turn_8::segment_01,wired,astro,wired_astro_12,12,0,child,8,1,1,0.36363636363636365,B,Speaker 2 (child),partner,How does it go that small?,6,6,False,20,20,data/wired/wired_astro/wired_astro_12.csv,8,8,9,False
wired::wired_astro_12::turn_9::segment_01,wired,astro,wired_astro_12,12,0,child,9,1,1,0.4090909090909091,A,Speaker 1 (Janna Levin),expert,"If a star is heavy enough to explode into supernova what's left begins to collapse under its own weight. And if that's heavy enough, the core will not be able to stop collapsing, 'cause it no longer has the thermonuclear fuel, it's run outta fuel. And if it's run outta fuel, it's no longer shining and pushing outward. And without that it itself begins to go dark and there's nothing fighting the collapse anymore. And that's when you form a black hole.",82,82,False,21,25,data/wired/wired_astro/wired_astro_12.csv,9,9,114,False
wired::wired_astro_12::turn_10::segment_01,wired,astro,wired_astro_12,12,0,child,10,1,1,0.45454545454545453,B,Speaker 2 (child),partner,"So if like the sun all collapsed on itself, it would form a black hole?",15,15,False,26,26,data/wired/wired_astro/wired_astro_12.csv,10,10,19,False
wired::wired_astro_12::turn_11::segment_01,wired,astro,wired_astro_12,12,0,child,11,1,1,0.5,A,Speaker 1 (Janna Levin),expert,"Well, that's a really good question. So interestingly, the sun itself isn't heavy enough. So it has to be heavy enough that when it begins to collapse, it just overcomes all attempts to fight it. If you made something really dense, you would have to travel faster than the speed of light to actually escape. That's 300,000 kilometers per second.",60,60,False,27,31,data/wired/wired_astro/wired_astro_12.csv,11,11,81,False
wired::wired_astro_12::turn_12::segment_01,wired,astro,wired_astro_12,12,0,child,12,1,1,0.5454545454545454,B,Speaker 2 (child),partner,So it goes so fast that there's it's all dark?,10,10,False,32,32,data/wired/wired_astro/wired_astro_12.csv,12,12,17,False
wired::wired_astro_12::turn_13::segment_01,wired,astro,wired_astro_12,12,0,child,13,1,1,0.5909090909090909,A,Speaker 1 (Janna Levin),expert,"So it goes so fast that it goes completely dark. Any light that veers too close will fall in, will not be able to make it back out again. If a light is shining from the sun near a black hole, the black hole's not touching it. Why does the light get pulled in? Why does that happen?",58,58,False,33,37,data/wired/wired_astro/wired_astro_12.csv,13,13,70,False
wired::wired_astro_12::turn_14::segment_01,wired,astro,wired_astro_12,12,0,child,14,1,1,0.6363636363636364,B,Speaker 2 (child),partner,Because the black hole is taking other stuff?,8,8,False,38,38,data/wired/wired_astro/wired_astro_12.csv,14,14,11,False
wired::wired_astro_12::turn_15::segment_01,wired,astro,wired_astro_12,12,0,child,15,1,1,0.6818181818181818,A,Speaker 1 (Janna Levin),expert,"It is taking other stuff, but the funny question was like, if I wanted to move your chair, you'd think it was really strange if I didn't have to come near you and actually grab the chair and move it. One of the things Einstein thought about is he imagined that what the black hole is doing is it's changing the shape of space around it. What do you think of that idea?",73,73,False,39,41,data/wired/wired_astro/wired_astro_12.csv,15,15,87,False
wired::wired_astro_12::turn_16::segment_01,wired,astro,wired_astro_12,12,0,child,16,1,1,0.7272727272727273,B,Speaker 2 (child),partner,It's crazy.,2,2,False,42,42,data/wired/wired_astro/wired_astro_12.csv,16,16,7,False
wired::wired_astro_12::turn_17::segment_01,wired,astro,wired_astro_12,12,0,child,17,1,1,0.7727272727272727,A,Speaker 1 (Janna Levin),expert,"Isn't it crazy? And then Einstein goes a step further and thinks, well, what black holes must be doing is curving the space so strongly that even light gets caught. Sometimes you can get light caught into a whole orbit, literally the light going round and round in an orbit.",50,50,False,43,45,data/wired/wired_astro/wired_astro_12.csv,17,17,60,False
wired::wired_astro_12::turn_18::segment_01,wired,astro,wired_astro_12,12,0,child,18,1,1,0.8181818181818182,B,Speaker 2 (child),partner,"So black hole, it doesn't attract light, it moves the space so that the curve is pointed towards it?",19,19,False,46,46,data/wired/wired_astro/wired_astro_12.csv,18,18,26,False
wired::wired_astro_12::turn_19::segment_01,wired,astro,wired_astro_12,12,0,child,19,1,1,0.8636363636363636,A,Speaker 1 (Janna Levin),expert,That's right. We've been talking for a little while about black holes. What are you gonna walk away with in your impression of what a black hole is?,28,28,False,47,49,data/wired/wired_astro/wired_astro_12.csv,19,19,37,False
